ApplicationID,Age,Gender,MaritalStatus,Dependents,EducationLevel,State,ResidenceType,YearsAtCurrentResidence,EmploymentType,Employed,EmploymentLengthYears,AnnualIncome,IncomeVerified,CreditScore,CreditHistoryMonths,ExistingLoanAccounts,ExistingCreditCards,TotalMonthlyDebtPayment,DebtToIncomeRatio,RevolvingUtilization,PriorDefault,BankruptcyLast7Years,EnquiriesLast6Months,Approval
LHB-2400469,28,Male,Married,3,Master's,WI,Own (outright),5.0,Salaried-Private,1,0.0,58.1,1,634,99,3,1,1221.0,0.252,0.44,0,0,1,Yes
LHB-2405713,71,Male,Married,0,High School,MD,Rent,18.0,Salaried-Government,1,4.0,41.5,1,486,457,2,3,1522.0,0.44,0.655,0,0,2,No
LHB-2405394,43,Male,Married,1,High School,PA,Rent,2.0,Self-Employed,1,1.0,48.2,0,625,229,1,4,904.0,0.225,0.363,0,0,1,Yes
LHB-2401659,42,Male,Married,2,Bachelor's,TN,Own (with mortgage),8.0,Salaried-Private,1,11.0,115.1,1,673,188,1,1,2069.0,0.216,0.62,0,0,2,Yes
LHB-2403762,44,Male,Single,0,Master's,PA,Own (with mortgage),8.0,Salaried-Government,1,0.0,62.6,1,677,269,1,1,472.0,0.09,0.184,0,0,0,Yes
LHB-2403238,51,Female,Single,1,Associate Degree,TX,Own (with mortgage),21.0,Salaried-Private,1,3.0,44.7,1,474,306,4,2,2289.0,0.614,0.321,0,1,1,No
LHB-2403825,37,Male,Divorced,2,Associate Degree,NV,Rent,4.0,Salaried-Government,1,0.0,67.2,1,613,192,0,2,603.0,0.108,0.396,0,0,0,Yes
LHB-2401476,65,Female,Married,5,Master's,MI,Rent,5.0,Salaried-Private,1,4.0,97.9,1,705,425,1,2,2136.0,0.262,0.364,0,0,4,Yes
LHB-2407636,62,Male,Married,4,Associate Degree,AL,Rent,15.0,Retired,0,0.0,50.8,0,689,411,1,4,1262.0,0.298,0.202,0,0,1,Yes
LHB-2403158,23,Male,Single,0,Doctorate,OR,Own (with mortgage),2.0,Salaried-Private,1,1.0,58.8,1,630,62,1,2,1290.0,0.263,0.16,0,0,1,Yes
LHB-2404025,28,Female,Single,0,Bachelor's,OK,Own (with mortgage),3.0,Salaried-Government,1,6.0,70.2,0,590,73,0,0,585.0,0.1,0.445,0,0,4,No
LHB-2406380,35,Male,Married,3,Master's,TX,Rent,13.0,Salaried-Private,1,11.0,107.5,1,593,165,1,2,1021.0,0.114,0.211,0,0,1,No
LHB-2407795,26,Male,Married,4,Master's,TN,Rent,7.0,Salaried-Private,1,1.0,58.7,1,623,82,0,3,1313.0,0.268,0.6833,0,0,4,No
LHB-2401377,42,Male,Married,0,Master's,NC,Own (with mortgage),2.0,Salaried-Private,1,2.0,97.4,1,662,232,0,1,383.0,0.047,0.057,1,0,0,Yes
LHB-2403041,39,Male,Married,2,Bachelor's,DC,Rent,6.0,Salaried-Private,1,10.0,63.5,1,690,223,0,2,546.0,0.103,0.404,0,0,3,Yes
LHB-2401221,55,Male,Single,0,Master's,NJ,Own (outright),4.0,Salaried-Private,1,2.0,147.2,1,732,338,3,3,3108.0,0.18,0.348,0,0,0,Yes
LHB-2405157,46,Female,Married,2,Bachelor's,FL,Own (with mortgage),6.0,Self-Employed,1,2.0,107.0,1,668,238,1,1,1670.0,0.187,0.553,0,0,2,Yes
LHB-2407320,18,Male,Single,0,Bachelor's,PA,Rent,7.0,Student,0,0.0,12.0,1,555,0,0,1,167.0,0.167,0.268,0,0,0,No
LHB-2407997,24,Others,Single,1,Associate Degree,VA,Live with Family,1.0,Salaried-Government,1,2.0,14.6,1,601,71,2,2,947.0,0.778,0.406,0,0,1,No
LHB-2402212,56,Female,Married,2,Bachelor's,NC,Rent,2.0,Salaried-Government,1,3.0,116.6,1,665,315,0,1,541.0,0.056,0.374,0,0,0,Yes
LHB-2404057,49,Female,Single,0,High School,GA,Rent,2.0,Salaried-Government,1,9.0,39.1,1,687,283,0,1,630.0,0.193,0.224,0,0,1,Yes
LHB-2400943,54,Male,Married,3,Bachelor's,SC,Rent,2.0,Salaried-Government,1,0.0,72.1,1,668,326,2,3,1630.0,0.271,0.227,0,0,3,Yes
LHB-2404502,24,Female,Married,3,Bachelor's,SD,Own (with mortgage),1.0,Salaried-Government,1,2.0,48.9,1,554,76,0,1,638.0,0.157,0.499,0,0,0,No
LHB-2400241,39,Male,Married,2,High School,PA,Live with Family,6.0,Self-Employed,1,0.0,45.2,1,655,184,3,3,960.0,0.255,0.406,0,0,2,Yes
LHB-2401926,33,Male,Single,0,High School,NC,Own (with mortgage),2.0,Salaried-Private,1,4.0,37.6,1,665,162,0,0,533.0,0.17,0.363,0,0,0,Yes
LHB-2402603,42,Female,Divorced,0,High School,TN,Own (with mortgage),2.0,Contract,1,3.0,45.0,1,539,211,1,2,914.0,0.244,0.257,1,0,0,No
LHB-2400526,57,Male,Married,0,Associate Degree,PA,Rent,8.0,Unemployed,0,0.0,12.0,1,592,341,0,0,167.0,0.167,0.101,0,0,2,No
LHB-2403785,25,Male,Single,0,Bachelor's,WV,Own (outright),4.0,Unemployed,0,0.0,12.0,0,570,46,0,3,719.0,0.719,0.044,0,0,5,No
LHB-2401159,23,Female,Married,2,Bachelor's,TN,Own (outright),8.0,Student,0,0.0,12.0,1,702,0,2,1,781.0,0.781,0.522,0,0,1,No
LHB-2405950,18,Female,Single,1,Master's,DC,Own (with mortgage),8.0,Salaried-Private,1,1.0,52.6,1,626,0,0,2,718.0,0.164,0.6833,0,0,4,No
LHB-2405126,46,Male,Married,5,High School,KY,Rent,3.0,Contract,1,7.0,46.6,1,603,270,1,4,1035.0,0.267,0.68,0,0,1,Yes
LHB-2402960,25,Male,Divorced,3,Bachelor's,NM,Own (outright),11.0,Contract,1,2.0,53.3,1,563,37,0,1,682.0,0.154,0.309,0,0,0,No
LHB-2402252,48,Male,Single,0,Associate Degree,VA,Own (with mortgage),12.0,Self-Employed,1,3.0,76.0,0,548,255,1,1,860.0,0.136,0.405,0,0,0,No
LHB-2406527,45,Female,Single,0,High School,GA,Rent,3.0,Salaried-Private,1,7.0,66.8,1,593,245,2,1,1469.0,0.264,0.006,0,0,1,No
LHB-2404525,26,Male,Single,0,Bachelor's,FL,Own (with mortgage),4.0,Self-Employed,1,4.0,64.1,1,599,111,0,3,1345.0,0.252,0.297,0,0,0,No
LHB-2404293,55,Female,Married,2,Bachelor's,MD,Own (with mortgage),5.0,Self-Employed,1,2.0,99.0,0,480,320,3,6,1602.0,0.194,0.406,1,0,2,No
LHB-2402325,46,Female,Married,3,Associate Degree,WV,Rent,7.0,Salaried-Private,1,20.0,56.1,1,720,218,1,3,786.0,0.168,0.597,0,0,5,Yes
LHB-2406629,32,Male,Single,0,Associate Degree,TX,Own (outright),2.0,Salaried-Government,1,5.0,105.8,1,614,83,0,1,841.0,0.095,0.239,0,0,2,Yes
LHB-2401478,35,Female,Single,2,Master's,TX,Rent,6.0,Salaried-Government,1,5.0,147.2,1,748,150,1,2,3798.0,0.187,0.051,0,0,1,Yes
LHB-2404434,63,Female,Divorced,2,Master's,GA,Own (with mortgage),6.0,Retired,0,0.0,88.1,1,583,421,2,3,1844.0,0.251,0.251,1,0,2,No
LHB-2403988,54,Female,Divorced,4,Associate Degree,FL,Rent,7.0,Salaried-Private,1,12.0,55.5,1,625,286,0,3,955.0,0.206,0.34,0,0,0,Yes
LHB-2406245,55,Male,Single,0,High School,HI,Own (with mortgage),18.0,Contract,1,11.0,43.5,1,670,328,0,1,318.0,0.088,0.099,0,0,1,Yes
LHB-2404349,46,Male,Single,0,Bachelor's,MD,Own (with mortgage),11.0,Salaried-Private,1,3.0,128.1,1,700,247,2,2,2907.0,0.272,0.44,0,0,2,Yes
LHB-2400320,49,Female,Married,1,Bachelor's,NC,Rent,2.0,Salaried-Government,1,3.0,92.2,1,634,265,3,1,2226.0,0.29,0.187,0,0,2,Yes
LHB-2405247,53,Male,Single,0,High School,NC,Own (with mortgage),3.0,Salaried-Government,1,6.0,73.9,1,754,342,1,2,1606.0,0.261,0.397,0,0,4,Yes
LHB-2404215,57,Female,Single,0,Associate Degree,MS,Rent,2.0,Salaried-Private,1,6.0,75.8,1,610,298,1,3,1277.0,0.202,0.218,0,0,0,Yes
LHB-2401084,41,Female,Single,0,Bachelor's,AL,Own (with mortgage),2.0,Unemployed,0,0.0,14.6,1,629,192,3,5,2109.0,0.852,0.659,0,0,2,No
LHB-2403652,50,Male,Married,3,Associate Degree,TN,Own (with mortgage),2.0,Self-Employed,1,8.0,80.7,1,607,328,2,2,1966.0,0.292,0.462,0,0,0,Yes
LHB-2401191,52,Female,Married,2,Associate Degree,DC,Rent,3.0,Self-Employed,1,11.0,125.5,1,751,353,2,1,2604.0,0.249,0.406,0,0,1,Yes
LHB-2403827,43,Male,Single,0,Bachelor's,NC,Own (outright),3.0,Salaried-Government,1,0.0,138.1,1,614,206,1,2,1437.0,0.125,0.402,0,0,1,Yes
LHB-2400620,35,Male,Married,0,Bachelor's,AL,Rent,5.0,Salaried-Government,1,5.0,61.3,1,616,139,0,3,916.0,0.179,0.19,0,0,0,Yes
LHB-2402098,18,Male,Single,0,High School,NC,Rent,1.0,Salaried-Private,1,1.0,23.4,1,582,36,2,3,1013.0,0.519,0.279,0,0,0,No
LHB-2404846,51,Male,Married,3,Associate Degree,CA,Own (outright),4.0,Contract,1,11.0,115.5,1,622,255,1,4,1432.0,0.149,0.164,0,0,2,Yes
LHB-2407043,64,Female,Divorced,2,High School,PA,Own (with mortgage),3.0,Unemployed,0,0.0,12.9,1,529,389,1,3,838.0,0.78,0.296,1,0,2,No
LHB-2402803,28,Female,Married,0,Associate Degree,TN,Own (with mortgage),5.0,Salaried-Government,1,0.0,29.9,0,537,65,3,1,1884.0,0.756,0.174,0,1,1,No
LHB-2401864,43,Female,Married,2,High School,FL,Rent,8.0,Self-Employed,1,4.0,49.3,1,583,236,2,3,1104.0,0.269,0.333,0,0,1,Yes
LHB-2402295,51,Male,Single,0,Associate Degree,TN,Rent,6.0,Unemployed,0,0.0,12.0,0,581,300,3,3,1219.0,0.852,0.29,0,0,6,No
LHB-2401959,33,Male,Married,2,Master's,MS,Rent,4.0,Salaried-Private,1,0.0,113.7,1,632,181,0,2,1603.0,0.169,0.266,0,0,3,Yes
LHB-2405257,25,Male,Married,2,Bachelor's,PA,Rent,4.0,Salaried-Private,1,1.0,28.3,1,589,35,0,4,773.0,0.328,0.142,0,0,1,No
LHB-2400577,55,Female,Widowed,0,Bachelor's,ME,Rent,6.0,Salaried-Government,1,0.0,105.7,1,678,381,2,4,1214.0,0.138,0.104,0,0,0,Yes
LHB-2401395,62,Female,Married,3,High School,WV,Rent,3.0,Salaried-Government,1,2.0,29.7,1,618,407,0,3,604.0,0.244,0.204,0,0,0,Yes
LHB-2405375,51,Male,Married,2,High School,MS,Rent,8.0,Salaried-Government,1,5.0,37.5,1,653,331,2,6,1182.0,0.378,0.147,0,0,3,Yes
LHB-2402754,53,Male,Married,2,Bachelor's,WV,Own (with mortgage),2.0,Salaried-Private,1,3.0,91.5,1,644,314,2,1,2249.0,0.295,0.125,0,0,3,Yes
LHB-2401805,18,Female,Single,0,Bachelor's,FL,Rent,2.0,Student,0,0.0,15.8,0,539,2,0,2,565.0,0.429,0.556,0,0,1,No
LHB-2402854,30,Male,Married,1,Associate Degree,TN,Own (outright),10.0,Salaried-Private,1,8.0,66.0,1,551,116,3,2,2789.0,0.507,0.346,0,0,1,No
LHB-2407224,31,Male,Married,1,Master's,MI,Rent,2.0,Salaried-Government,1,1.0,62.4,1,600,119,4,0,1937.0,0.3,0.108,0,0,0,Yes
LHB-2404366,45,Male,Married,2,Associate Degree,GA,Own (with mortgage),4.0,Salaried-Private,1,2.0,52.6,1,682,280,5,3,3090.0,0.705,0.28,0,0,1,Yes
LHB-2400170,32,Others,Single,0,High School,FL,Own (with mortgage),2.0,Contract,1,2.0,39.7,1,638,126,2,0,1305.0,0.394,0.501,0,0,0,No
LHB-2402041,48,Female,Married,1,Bachelor's,TN,Rent,4.0,Salaried-Government,1,4.0,58.7,1,507,263,2,6,2768.0,0.566,0.6833,1,0,0,No
LHB-2406470,49,Male,Divorced,2,Bachelor's,AL,Rent,2.0,Contract,1,0.0,79.3,0,606,313,0,1,607.0,0.092,0.03,0,0,1,No
LHB-2401233,41,Female,Married,0,Bachelor's,VT,Rent,4.0,Salaried-Private,1,16.0,56.7,1,742,194,1,1,1166.0,0.242,0.322,0,0,0,Yes
LHB-2406090,43,Male,Married,1,Bachelor's,KY,Own (with mortgage),3.0,Salaried-Private,1,2.0,82.9,1,677,162,5,6,2374.0,0.344,0.429,0,0,0,Yes
LHB-2406880,20,Female,Widowed,0,Associate Degree,AR,Own (with mortgage),5.0,Student,0,0.0,12.0,1,442,15,3,1,1059.0,0.852,0.612,1,0,1,No
LHB-2405904,61,Female,Single,0,Associate Degree,NC,Own (with mortgage),2.0,Contract,1,1.0,33.0,1,450,375,0,3,976.0,0.355,0.578,1,0,0,No
LHB-2406059,53,Female,Married,0,Master's,VA,Rent,2.0,Salaried-Private,1,0.0,94.0,1,723,320,2,2,2857.0,0.365,0.329,0,0,2,Yes
LHB-2405945,18,Male,Married,2,Associate Degree,VA,Rent,4.0,Student,0,0.0,12.0,1,530,0,1,1,720.0,0.72,0.448,0,0,1,No
LHB-2401275,40,Female,Widowed,3,Bachelor's,HI,Own (with mortgage),3.0,Salaried-Government,1,1.0,59.9,0,554,181,1,5,904.0,0.181,0.299,0,0,0,Yes
LHB-2403118,30,Male,Married,4,Associate Degree,PA,Own (with mortgage),2.0,Unemployed,0,0.0,12.0,0,639,109,4,2,1092.0,0.852,0.219,0,0,2,No
LHB-2404395,43,Female,Married,2,Master's,KY,Own (with mortgage),2.0,Salaried-Government,1,0.0,115.9,1,564,242,5,0,3814.0,0.395,0.421,0,0,3,No
LHB-2402949,54,Male,Married,4,Associate Degree,KS,Rent,4.0,Salaried-Private,1,5.0,144.9,1,636,326,1,4,2987.0,0.247,0.266,0,0,0,Yes
LHB-2407753,40,Male,Single,0,Associate Degree,SC,Rent,4.0,Salaried-Government,1,5.0,40.2,1,567,177,2,3,1385.0,0.413,0.183,0,0,0,No
LHB-2401890,52,Female,Single,0,Associate Degree,VA,Own (with mortgage),6.0,Self-Employed,1,2.0,51.1,0,579,311,1,5,2128.0,0.5,0.274,0,0,0,No
LHB-2400677,45,Male,Married,3,Doctorate,RI,Rent,1.0,Salaried-Private,1,1.0,147.2,0,671,210,1,1,1587.0,0.121,0.327,0,0,0,Yes
LHB-2407283,41,Male,Single,1,Bachelor's,NC,Live with Family,6.0,Salaried-Private,1,7.0,87.8,1,747,205,0,3,724.0,0.099,0.156,0,0,1,Yes
LHB-2407220,48,Male,Single,0,High School,SC,Rent,5.0,Salaried-Private,1,4.0,38.7,1,662,287,0,4,895.0,0.278,0.265,0,0,5,Yes
LHB-2405516,41,Female,Married,5,High School,VA,Own (with mortgage),2.0,Salaried-Government,1,4.0,41.7,1,613,161,1,2,1301.0,0.374,0.31,0,0,0,Yes
LHB-2405161,22,Male,Divorced,3,Associate Degree,TX,Own (with mortgage),2.0,Student,0,0.0,13.3,1,592,10,1,4,1300.0,0.852,0.101,0,0,5,No
LHB-2401296,21,Female,Married,2,High School,TN,Own (with mortgage),0.0,Salaried-Private,1,1.0,40.4,1,599,54,2,1,1520.0,0.451,0.543,0,0,4,No
LHB-2404391,55,Male,Single,0,High School,DC,Own (with mortgage),4.0,Salaried-Private,1,0.0,44.8,1,673,331,1,3,1151.0,0.308,0.17,0,0,1,Yes
LHB-2404149,19,Female,Married,0,Bachelor's,MS,Rent,2.0,Salaried-Private,1,1.0,42.9,1,658,0,5,5,1802.0,0.504,0.0,0,0,1,No
LHB-2403400,45,Male,Married,1,High School,TN,Rent,4.0,Self-Employed,1,1.0,27.9,0,563,267,0,3,691.0,0.297,0.0,0,0,2,No
LHB-2407207,49,Male,Single,0,Bachelor's,MD,Own (with mortgage),7.0,Salaried-Private,1,3.0,63.6,1,635,304,1,3,1006.0,0.19,0.157,0,0,1,Yes
LHB-2407155,50,Male,Married,3,Associate Degree,CT,Own (with mortgage),5.0,Salaried-Private,1,6.0,57.5,1,664,299,0,2,585.0,0.122,0.0,0,0,1,Yes
LHB-2403900,48,Male,Single,0,Associate Degree,KY,Rent,2.0,Salaried-Private,1,0.0,83.7,1,644,257,2,2,1664.0,0.239,0.377,0,0,0,Yes
LHB-2405309,49,Male,Single,0,Bachelor's,NM,Own (with mortgage),2.0,Salaried-Private,1,8.0,58.7,1,613,287,2,3,1543.0,0.315,0.641,0,0,1,Yes
LHB-2403342,60,Male,Single,0,Bachelor's,AL,Rent,5.0,Salaried-Private,1,1.0,39.6,0,737,328,1,5,1664.0,0.504,0.008,0,0,1,Yes
LHB-2400301,22,Male,Married,1,Bachelor's,SC,Own (with mortgage),1.0,Student,0,0.0,17.3,1,603,24,0,4,715.0,0.496,0.316,0,0,2,No
LHB-2400365,58,Male,Married,2,High School,SC,Own (with mortgage),4.0,Salaried-Private,1,5.0,55.0,1,634,329,1,6,1742.0,0.38,0.302,0,0,1,No
LHB-2405144,20,Male,Single,0,Bachelor's,AL,Rent,4.0,Student,0,0.0,12.0,1,563,33,0,1,342.0,0.342,0.184,0,0,0,No
LHB-2404198,18,Male,Married,2,Associate Degree,KY,Rent,7.0,Salaried-Private,1,0.0,30.2,1,613,31,3,0,1279.0,0.508,0.671,0,0,1,No
LHB-2406863,41,Female,Single,0,High School,GA,Own (with mortgage),12.0,Salaried-Private,1,2.0,35.5,1,666,232,0,2,680.0,0.23,0.604,0,0,3,Yes
LHB-2402795,48,Female,Married,1,Bachelor's,GA,Own (with mortgage),4.0,Contract,1,0.0,59.4,1,647,300,1,0,553.0,0.112,0.214,0,0,0,Yes
LHB-2403694,55,Male,Single,0,Associate Degree,NV,Live with Family,9.0,Salaried-Private,1,17.0,74.7,1,736,344,0,0,1023.0,0.164,0.245,0,0,0,Yes
LHB-2400857,45,Female,Married,2,Associate Degree,DC,Rent,2.0,Salaried-Private,1,2.0,73.4,1,615,292,0,1,403.0,0.066,0.05,0,0,4,Yes
LHB-2407881,50,Male,Married,3,High School,MS,Own (with mortgage),2.0,Salaried-Private,1,12.0,58.9,0,637,287,1,3,663.0,0.135,0.475,0,0,0,Yes
LHB-2403005,34,Female,Married,2,Bachelor's,TN,Rent,13.0,Self-Employed,1,4.0,88.6,1,630,147,2,0,1834.0,0.248,0.363,0,0,1,No
LHB-2405635,18,Male,Single,0,Bachelor's,SC,Live with Family,26.0,Salaried-Private,1,1.0,59.4,1,660,0,2,2,1290.0,0.261,0.447,0,0,2,Yes
LHB-2405549,28,Female,Married,1,Bachelor's,NC,Own (outright),1.0,Salaried-Private,1,1.0,51.5,1,634,87,3,3,1428.0,0.333,0.206,0,0,2,Yes
LHB-2406550,40,Female,Married,1,Bachelor's,ND,Own (with mortgage),5.0,Salaried-Private,1,5.0,128.3,1,679,213,1,2,949.0,0.089,0.122,0,0,1,Yes
LHB-2404470,44,Male,Married,2,High School,MI,Live with Family,2.0,Salaried-Private,1,3.0,43.4,1,621,204,4,1,1875.0,0.518,0.288,0,0,1,No
LHB-2400544,37,Female,Married,1,Master's,SC,Own (with mortgage),12.0,Contract,1,0.0,68.8,1,550,155,2,1,891.0,0.155,0.428,0,0,1,No
LHB-2404387,47,Female,Single,0,Bachelor's,WY,Own (with mortgage),6.0,Unemployed,0,0.0,13.0,1,650,239,1,3,994.0,0.852,0.556,0,0,2,No
LHB-2407714,31,Male,Divorced,0,Bachelor's,NV,Own (outright),1.0,Self-Employed,1,3.0,79.5,0,597,79,2,1,1197.0,0.181,0.338,0,0,0,No
LHB-2403688,72,Female,Married,0,Doctorate,NC,Own (with mortgage),5.0,Retired,0,0.0,88.4,1,752,460,0,3,1369.0,0.186,0.287,0,0,0,Yes
LHB-2404485,32,Female,Married,3,Master's,SC,Live with Family,2.0,Salaried-Private,1,2.0,83.8,1,641,109,0,4,1041.0,0.149,0.444,0,0,0,Yes
LHB-2402869,47,Male,Single,1,Bachelor's,AL,Rent,2.0,Salaried-Private,1,1.0,71.2,1,617,279,2,4,1819.0,0.307,0.267,0,0,1,Yes
LHB-2404946,57,Male,Divorced,3,High School,SC,Rent,3.0,Salaried-Private,1,0.0,69.5,1,656,306,2,3,978.0,0.169,0.163,0,0,3,Yes
LHB-2405557,46,Female,Divorced,1,Associate Degree,FL,Own (with mortgage),9.0,Salaried-Private,1,0.0,68.7,1,572,213,0,4,556.0,0.097,0.528,0,0,0,Yes
LHB-2401870,50,Female,Married,1,High School,VA,Own (with mortgage),8.0,Salaried-Private,1,11.0,35.4,0,622,315,1,3,1323.0,0.448,0.423,0,0,1,No
LHB-2407621,37,Male,Married,0,High School,AL,Rent,6.0,Salaried-Government,1,15.0,23.2,0,615,213,3,4,2489.0,0.852,0.343,0,0,0,No
LHB-2403231,58,Female,Married,0,Bachelor's,NM,Own (with mortgage),10.0,Salaried-Private,1,0.0,48.1,1,627,386,2,0,887.0,0.221,0.353,0,0,0,Yes
LHB-2405015,35,Female,Married,0,Master's,VA,Own (outright),1.0,Salaried-Private,1,0.0,60.7,1,615,159,1,1,1299.0,0.257,0.389,0,0,5,Yes
LHB-2404506,49,Female,Widowed,2,Associate Degree,KY,Rent,5.0,Salaried-Private,1,6.0,37.6,1,698,247,0,2,891.0,0.284,0.12,0,0,0,Yes
LHB-2401894,37,Male,Single,0,Associate Degree,DC,Own (with mortgage),1.0,Salaried-Government,1,6.0,53.7,1,588,199,0,2,1081.0,0.242,0.6,0,0,0,No
LHB-2401184,40,Male,Married,1,Associate Degree,MD,Own (with mortgage),2.0,Salaried-Private,1,3.0,59.4,0,600,218,0,0,264.0,0.053,0.082,0,0,2,Yes
LHB-2406523,47,Male,Single,0,Associate Degree,DC,Live with Family,7.0,Salaried-Private,1,6.0,64.1,1,652,274,2,2,1100.0,0.206,0.567,0,0,0,Yes
LHB-2403004,37,Male,Single,0,Bachelor's,WV,Own (with mortgage),2.0,Salaried-Private,1,7.0,90.4,0,626,187,1,3,1897.0,0.252,0.253,0,0,0,Yes
LHB-2401898,35,Female,Married,1,Bachelor's,VA,Rent,5.0,Unemployed,0,0.0,12.0,1,692,174,1,3,775.0,0.775,0.356,0,0,0,Yes
LHB-2400832,26,Female,Single,0,Bachelor's,MD,Rent,1.0,Salaried-Private,1,4.0,79.3,1,655,70,0,2,1099.0,0.166,0.135,0,0,1,Yes
LHB-2400690,44,Male,Single,0,High School,TN,Own (outright),6.0,Salaried-Private,1,4.0,84.5,1,750,221,1,3,2160.0,0.307,0.169,0,0,2,Yes
LHB-2407140,23,Male,Single,0,High School,VA,Own (outright),1.0,Contract,1,1.0,31.2,1,525,20,0,1,327.0,0.126,0.303,0,0,1,No
LHB-2403776,29,Male,Married,2,Master's,AL,Rent,4.0,Salaried-Private,1,6.0,44.5,0,476,78,4,3,1501.0,0.405,0.605,0,0,3,No
LHB-2401512,51,Female,Single,0,Associate Degree,DC,Rent,6.0,Salaried-Government,1,20.0,54.8,0,605,302,2,2,1556.0,0.341,0.356,0,0,1,No
LHB-2406715,26,Male,Married,2,Associate Degree,MD,Own (with mortgage),6.0,Salaried-Private,1,1.0,35.5,1,602,69,0,3,719.0,0.243,0.305,0,0,3,Yes
LHB-2403882,44,Others,Married,0,Bachelor's,TX,Rent,5.0,Salaried-Private,1,0.0,53.9,1,678,228,1,4,763.0,0.17,0.575,0,0,0,Yes
LHB-2401075,43,Male,Single,2,Doctorate,SC,Own (with mortgage),3.0,Contract,1,1.0,78.4,1,676,236,0,2,854.0,0.131,0.6833,0,0,0,No
LHB-2407737,35,Male,Married,0,High School,MD,Own (with mortgage),1.0,Salaried-Private,1,4.0,50.8,1,602,150,0,2,800.0,0.189,0.306,0,0,4,Yes
LHB-2405384,58,Male,Single,0,High School,AL,Own (with mortgage),3.0,Self-Employed,1,0.0,37.3,1,657,360,1,3,1114.0,0.358,0.158,0,0,1,Yes
LHB-2402111,46,Male,Married,2,High School,MD,Own (with mortgage),5.0,Salaried-Government,1,4.0,42.4,1,627,256,0,2,729.0,0.206,0.375,0,0,0,Yes
LHB-2404865,41,Male,Divorced,3,Master's,MD,Own (with mortgage),4.0,Salaried-Private,1,8.0,147.2,1,649,188,1,2,1043.0,0.085,0.062,0,0,1,Yes
LHB-2407583,19,Female,Single,1,High School,NC,Rent,1.0,Student,0,0.0,12.0,1,593,14,0,1,189.0,0.189,0.107,0,0,2,No
LHB-2407490,24,Male,Single,0,Bachelor's,NC,Own (outright),8.0,Self-Employed,1,2.0,50.3,0,562,44,0,1,417.0,0.099,0.269,0,0,0,No
LHB-2402602,39,Male,Single,0,Bachelor's,CT,Own (outright),17.0,Salaried-Private,1,0.0,82.2,0,548,177,1,4,1487.0,0.217,0.6833,0,0,2,No
LHB-2401946,31,Female,Married,0,High School,WV,Rent,4.0,Salaried-Private,1,5.0,57.7,1,628,90,1,3,1346.0,0.28,0.111,0,0,0,No
LHB-2407307,18,Male,Single,0,Bachelor's,FL,Rent,1.0,Student,0,0.0,12.0,1,589,3,0,2,480.0,0.48,0.118,0,0,2,No
LHB-2407333,64,Male,Married,0,Associate Degree,NC,Own (with mortgage),2.0,Self-Employed,1,2.0,145.3,1,752,433,0,4,703.0,0.058,0.182,0,0,2,Yes
LHB-2400752,28,Female,Married,2,Bachelor's,DC,Live with Family,35.0,Salaried-Private,1,0.0,54.9,1,654,87,0,3,920.0,0.201,0.201,0,0,3,Yes
LHB-2401361,51,Male,Divorced,2,Master's,WV,Own (with mortgage),4.0,Salaried-Private,1,19.0,147.2,1,763,248,2,2,2242.0,0.161,0.628,0,0,2,Yes
LHB-2405132,40,Male,Married,3,Bachelor's,SC,Rent,8.0,Self-Employed,1,0.0,92.1,0,582,165,2,3,1762.0,0.23,0.28,0,0,0,No
LHB-2402682,52,Male,Single,0,Bachelor's,AL,Live with Family,19.0,Contract,1,5.0,147.2,0,738,349,2,3,5309.0,0.155,0.403,0,0,0,Yes
LHB-2403284,31,Female,Married,1,High School,FL,Own (with mortgage),12.0,Contract,1,6.0,37.0,0,644,127,1,1,694.0,0.225,0.401,0,0,1,No
LHB-2406406,35,Female,Married,3,High School,VA,Live with Family,8.0,Salaried-Private,1,1.0,56.9,1,565,162,1,2,1380.0,0.291,0.336,0,0,2,No
LHB-2406924,40,Male,Single,0,Bachelor's,SC,Rent,3.0,Salaried-Private,1,0.0,41.2,1,612,168,3,5,1910.0,0.556,0.127,0,0,1,No
LHB-2400363,27,Male,Single,2,Associate Degree,MD,Rent,1.0,Salaried-Private,1,5.0,40.2,1,685,109,1,2,1105.0,0.33,0.265,0,0,1,Yes
LHB-2402764,33,Others,Single,1,Bachelor's,SC,Rent,8.0,Salaried-Private,1,5.0,60.3,1,569,121,1,0,1022.0,0.203,0.574,0,0,2,Yes
LHB-2401135,55,Female,Single,1,Bachelor's,VA,Own (outright),2.0,Salaried-Private,1,2.0,127.0,1,614,281,0,3,1524.0,0.144,0.317,0,0,0,Yes
LHB-2403212,48,Male,Single,0,Master's,IA,Rent,6.0,Self-Employed,1,1.0,66.9,0,534,259,1,3,1068.0,0.192,0.316,0,0,3,No
LHB-2403807,42,Male,Single,0,Bachelor's,TX,Own (with mortgage),6.0,Unemployed,0,0.0,62.4,1,630,232,3,7,3184.0,0.852,0.484,0,0,3,No
LHB-2401679,37,Male,Single,0,Associate Degree,KY,Rent,2.0,Salaried-Private,1,14.0,52.8,1,611,177,3,3,1619.0,0.368,0.405,0,0,3,Yes
LHB-2404646,39,Male,Single,0,Bachelor's,VA,Rent,7.0,Salaried-Private,1,7.0,140.8,1,573,178,0,1,1312.0,0.112,0.203,0,0,0,Yes
